run_id,strategy_version,param_set_id,symbol,timeframe,position_id,deal_in,deal_out,order_kind,direction,entry_reason,exit_reason,deal_reason_raw,order_number,entry_time,entry_time_msc,entry_price,exit_time,exit_time_msc,exit_price,volume,sl_price,tp_price,profit,commission,swap,net_pnl,holding_seconds,vol_gate_low,market_state,rv_short_pts,rv_ratio,multiplier_a,grid_dist_pts,tp_dist_pts,baseline_at_entry,risk_level_at_entry,avg_vol_per_min,spread_pts_at_entry,atr_at_entry
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,2,2,3,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.04 00:00:00,1672790400000,1836.701,2023.01.04 00:03:00,1672790580000,1837.745,0.01,0.000,2036.701,1.05,0.00,0.00,1.05,180,1,0,179.89,0.0098,1.0000,244.0,200000.0,1837.622,1,36.13,200.0,0.000
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,4,4,5,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.04 00:04:00,1672790640000,1836.957,2023.01.04 00:08:00,1672790880000,1837.453,0.01,0.000,2036.957,0.49,0.00,0.00,0.49,240,1,0,376.85,0.0205,1.0000,397.0,200000.0,1837.400,1,37.70,200.0,0.000
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,7,7,8,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.04 00:21:00,1672791660000,1838.420,2023.01.04 00:30:00,1672792200000,1838.008,0.01,0.000,1638.420,0.41,0.00,0.00,0.41,540,1,0,293.45,0.0160,1.0000,457.8,200000.0,1837.745,1,44.80,200.0,0.000
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,6,6,9,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.04 00:09:00,1672790940000,1837.914,2023.01.04 00:30:00,1672792200000,1838.008,0.01,0.000,1637.914,-0.10,0.00,0.00,-0.10,1260,1,0,401.67,0.0219,1.0000,420.0,200000.0,1837.469,1,38.73,200.0,0.000
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,10,10,11,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.04 00:31:00,1672792260000,1837.917,2023.01.04 00:36:00,1672792560000,1838.297,0.01,0.000,2037.917,0.38,0.00,0.00,0.38,300,1,0,224.18,0.0122,1.0000,275.0,200000.0,1838.037,1,46.92,200.0,0.000
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,12,12,13,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.04 00:37:00,1672792620000,1838.330,2023.01.04 00:40:00,1672792800000,1837.839,0.01,0.000,1638.330,0.49,0.00,0.00,0.49,180,1,0,225.40,0.0123,1.0000,276.0,200000.0,1838.024,1,47.98,200.0,0.000
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,15,15,16,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.04 01:03:00,1672794180000,1839.318,2023.01.04 01:14:00,1672794840000,1838.507,0.01,0.000,1639.318,0.81,0.00,0.00,0.81,660,1,0,271.10,0.0147,1.0000,434.0,200000.0,1838.511,1,44.13,200.0,0.000
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,14,14,17,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.04 00:47:00,1672793220000,1838.544,2023.01.04 01:14:00,1672794840000,1838.507,0.01,0.000,1638.544,0.03,0.00,0.00,0.03,1620,1,0,228.98,0.0125,1.0000,279.0,200000.0,1838.143,1,44.48,200.0,0.000
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,18,18,19,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.04 01:20:00,1672795200000,1840.078,2023.01.04 01:28:00,1672795680000,1839.731,0.01,0.000,1640.078,0.35,0.00,0.00,0.35,480,1,0,382.46,0.0208,1.0000,402.0,200000.0,1839.643,1,54.88,200.0,0.000
g_pg_z1000,eva028-CoreRiskV1,g_pg_z1000,XAUUSD_HIST,M1,22,22,23,grid,-1,grid_sell,grid_tp_baseline_revert,expert,3,2023.01.04 02:16:00,1672798560000,1844.845,2023.01.04 03:28:00,1672802880000,1845.788,0.01,0.000,1644.845,-0.94,0.00,0.00,-0.94,4320,1,0,362.89,0.0197,1.0000,752.6,200000.0,1841.522,1,75.72,200.0,0.000
