entry_time,exit_time,direction,entry_price,exit_price,net_pnl,path_source,recover_to_entry_hours,further_mae_usd_1h,pnl_if_held_1h,further_mae_usd_2h,pnl_if_held_2h,further_mae_usd_4h,pnl_if_held_4h,further_mae_usd_8h,pnl_if_held_8h,further_mae_usd_24h,pnl_if_held_24h,further_mae_usd_48h,pnl_if_held_48h,further_mae_usd_72h,pnl_if_held_72h
2024-05-03 13:32:29,2024-05-03 13:35:41,1,2295.445,2277.997,-17.45,tick,0.40949944444444447,18.371000000000095,-10.376999999999953,18.371000000000095,-0.8890000000001237,18.371000000000095,5.5669999999995525,18.371000000000095,6.281999999999698,18.371000000000095,6.281999999999698,18.371000000000095,6.281999999999698,18.371000000000095,31.07149999999956
2026-02-10 14:41:39,2026-02-10 14:48:21,1,5055.587,5032.183,-23.41,tick,11.212420555555555,56.785000000000764,-35.01100000000042,56.785000000000764,-31.59600000000046,56.785000000000764,-41.788000000000466,56.785000000000764,-32.423000000000684,56.785000000000764,-8.38799999999992,56.785000000000764,-1.4190000000007785,177.22100000000046,-51.51900000000023
2026-02-11 12:34:30,2026-02-11 12:41:24,1,5084.91,5064.498,-20.41,tick,0.3209341666666667,66.05000000000018,-24.41399999999976,66.05000000000018,-42.25200000000041,66.05000000000018,-8.023999999999432,66.05000000000018,0.43800000000010186,66.05000000000018,-22.891999999999825,206.54399999999987,-115.45299999999952,206.54399999999987,-42.18499999999949
2026-02-12 16:06:32,2026-02-12 16:10:30,1,5057.135,5037.14,-20.0,tick,,178.76900000000023,-98.88100000000031,178.76900000000023,-128.58500000000004,178.76900000000023,-116.37800000000061,178.76900000000023,-112.09000000000015,178.76900000000023,-66.80400000000009,178.76900000000023,-14.409999999999854,178.76900000000023,-14.409999999999854
2026-02-17 13:56:04,2026-02-17 13:57:38,1,4909.127,4889.143,-19.99,tick,4.9842563888888884,67.97800000000007,-35.63800000000083,67.97800000000007,-33.379000000000815,67.97800000000007,-43.95100000000093,67.97800000000007,-30.36500000000069,67.97800000000007,40.64799999999923,67.97800000000007,87.21299999999974,67.97800000000007,135.73499999999967
2026-02-20 15:05:30,2026-02-20 15:06:32,1,5020.342,4998.963,-21.38,tick,0.033125555555555554,31.411000000000058,30.551000000000386,31.411000000000058,49.694000000000415,31.411000000000058,51.51500000000033,31.411000000000058,85.64699999999993,31.411000000000058,85.64699999999993,31.411000000000058,85.64699999999993,31.411000000000058,171.35300000000007
2026-02-24 01:12:00,2026-02-24 01:15:28,1,5199.257,5174.617,-24.64,tick,28.26913777777778,54.49199999999928,-26.34399999999914,54.49199999999928,-11.186999999999898,54.49199999999928,-27.815999999998894,54.49199999999928,-27.398999999999432,105.93799999999919,-22.72099999999955,105.93799999999919,-9.266999999999825,105.93799999999919,-22.876999999999498
2026-03-03 05:47:38,2026-03-03 05:54:16,1,5337.585,5315.245,-22.34,tick,,58.75200000000041,-39.08100000000013,58.75200000000041,-9.419000000000779,111.64199999999983,-62.51099999999951,264.6850000000004,-189.55299999999988,341.7970000000005,-172.77599999999984,341.7970000000005,-179.33700000000044,341.7970000000005,-217.84900000000016
2026-03-03 11:06:28,2026-03-03 11:08:21,1,5243.5,5207.425,-36.07,tick,,170.60000000000036,-71.8140000000003,170.60000000000036,-85.15099999999984,227.73700000000008,-190.83699999999953,247.71200000000044,-110.36299999999937,247.71200000000044,-53.61200000000008,247.71200000000044,-80.07500000000073,247.71200000000044,-159.08599999999933
2026-03-05 15:04:31,2026-03-05 15:08:44,1,5102.717,5070.501,-32.22,tick,0.8494441666666667,42.904999999999745,-23.996000000000095,48.79500000000007,-17.51299999999992,52.03600000000006,-26.35899999999947,52.03600000000006,-16.90099999999984,52.03600000000006,49.8730000000005,52.03600000000006,71.52999999999975,52.03600000000006,71.52999999999975
2026-03-06 11:54:23,2026-03-06 11:56:41,1,5079.273,5063.106,-16.16,tick,0.06587888888888889,16.797999999999774,7.0649999999996,16.797999999999774,6.367999999999483,16.797999999999774,66.06900000000041,16.797999999999774,80.19400000000041,16.797999999999774,94.97399999999925,16.797999999999774,94.97399999999925,64.83300000000054,13.463999999999942
2026-03-10 18:14:43,2026-03-10 18:17:40,1,5215.917,5190.91,-25.01,tick,6.504797777777778,55.77800000000025,-12.878999999999905,55.77800000000025,-20.090000000001055,55.77800000000025,-25.35400000000027,55.77800000000025,-12.65100000000075,66.6780000000008,-43.45799999999963,113.72400000000016,-105.88400000000092,197.08100000000013,-171.7539999999999
2026-03-16 01:12:30,2026-03-16 01:15:16,1,5008.001,4983.268,-24.73,tick,0.5227925,25.476000000000568,5.902000000000044,25.476000000000568,-8.873999999999796,25.476000000000568,5.137000000000626,27.954999999999927,-23.373999999999796,37.98999999999978,1.7289999999993597,37.98999999999978,3.511000000000422,203.85500000000047,-171.02599999999984
2026-03-18 11:35:00,2026-03-18 11:40:40,1,4956.735,4941.68,-15.06,tick,,78.36599999999999,-67.6319999999996,122.75999999999931,-85.42999999999938,122.75999999999931,-83.63699999999972,122.75999999999931,-101.76199999999972,290.34599999999955,-278.5169999999989,454.2569999999996,-284.567,479.6779999999999,-459.1159999999991
2026-04-02 01:00:32,2026-04-02 01:03:42,1,4776.228,4748.609,-27.62,tick,,125.83100000000013,-85.70499999999993,125.83100000000013,-96.54699999999957,125.83100000000013,-101.02500000000055,222.47000000000025,-161.30599999999959,222.47000000000025,-100.84000000000015,222.47000000000025,-100.84000000000015,222.47000000000025,-100.84000000000015
2026-04-07 01:00:04,2026-04-07 01:00:38,1,4649.478,4630.762,-18.72,tick,0.017941944444444444,33.212000000000444,-21.824999999999818,33.212000000000444,0.19500000000061846,33.212000000000444,11.548999999999978,33.212000000000444,35.384000000000015,42.215000000000146,168.3720000000003,42.215000000000146,63.688999999999396,42.215000000000146,115.22200000000066
2026-05-28 14:09:29,2026-05-28 14:14:41,-1,4437.435,4466.395,-28.96,tick,,43.77899999999954,-33.103000000000065,48.759000000000015,-46.84699999999884,79.34599999999955,-69.93299999999999,79.34599999999955,-56.66099999999915,115.61599999999999,-106.51199999999972,158.03399999999965,-103.08199999999943,158.03399999999965,-103.08199999999943
2026-06-17 18:00:14,2026-06-17 18:00:39,1,4365.703,4340.076,-25.62,tick,,96.15000000000055,-75.28500000000076,146.8710000000001,-122.56300000000101,146.8710000000001,-109.28200000000015,146.8710000000001,-48.077000000000226,151.85000000000036,-137.3660000000009,244.10000000000036,-210.15200000000095,244.10000000000036,-210.15200000000095
