row_id,window,source_audit_file,source_ticket,signal_bar_open_time,mql_xau_bar_time,audit_xau_bar_time,timestamp_exact,xau_timestamp_exact,direction_audit,direction_mql,direction_exact,audit_ema48,mql_ema48,diff_ema48,tol_ema48,audit_residual,mql_residual,diff_residual,tol_residual,audit_sigma48,mql_sigma48,diff_sigma48,tol_sigma48,audit_z_score,mql_z_score,diff_z_score,tol_z_score,audit_atr14,mql_atr14,diff_atr14,tol_atr14,audit_atr_p20,mql_atr_p20,diff_atr_p20,tol_atr_p20,audit_atr_p80,mql_atr_p80,diff_atr_p80,tol_atr_p80,audit_xau_return,mql_xau_return,diff_xau_return,tol_xau_return,audit_xau_open,mql_xau_open,diff_xau_open,tol_xau_open,audit_xau_close,mql_xau_close,diff_xau_close,tol_xau_close,row_status
AUDIT_WINTER_3,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,3,2023.01.03 00:30:00,2023.01.03 00:30:00,2023.01.03 00:30,1,1,long,long,1,130.864,130.8643210056,0.0003210056,0.000500000001,-0.257,-0.2573210056,0.0003210056,0.000500000001,0.168,0.1675390113,0.0004609887,0.000500000001,-1.53589,-1.5358870968,2.90319999996e-06,5.000001e-06,0.150,0.1495000000,0.0005,0.000500000001,0.122,0.1218571429,0.0001428571,0.000500000001,0.223,0.2230714286,7.14286e-05,0.000500000001,-0.000240,-0.0002397566,2.434e-07,5.00001e-07,1831.024,1831.0240000000,0,0.000500000001,1830.585,1830.5850000000,0,0.000500000001,PASS
AUDIT_WINTER_5,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,5,2023.01.06 00:00:00,2023.01.06 00:00:00,2023.01.06 00:00,1,1,short,short,1,132.916,132.9161423621,0.000142362100007,0.000500000001,0.519,0.5188576379,0.0001423621,0.000500000001,0.321,0.3210022442,2.2442e-06,0.000500000001,1.61637,1.6163676340,2.36600000014e-06,5.000001e-06,0.144,0.1437142857,0.0002857143,0.000500000001,0.122,0.1218571429,0.0001428571,0.000500000001,0.252,0.2517142857,0.0002857143,0.000500000001,0.000211,0.0002106067,3.933e-07,5.00001e-07,1832.800,1832.8000000000,0,0.000500000001,1833.186,1833.1860000000,0,0.000500000001,PASS
AUDIT_WINTER_7,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,7,2023.01.11 02:30:00,2023.01.11 02:30:00,2023.01.11 02:30,1,1,short,short,1,132.152,132.1524211939,0.000421193900024,0.000500000001,0.402,0.4015788061,0.0004211939,0.000500000001,0.148,0.1477508985,0.0002491015,0.000500000001,2.71794,2.7179449342,4.93420000014e-06,5.000001e-06,0.159,0.1589285714,7.14286e-05,0.000500000001,0.150,0.1497142857,0.0002857143,0.000500000001,0.266,0.2661428571,0.0001428571,0.000500000001,0.000189,0.0001888424,1.576e-07,5.00001e-07,1874.579,1874.5790000000,0,0.000500000001,1874.933,1874.9330000000,0,0.000500000001,PASS
AUDIT_WINTER_9,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,9,2023.01.11 23:30:00,2023.01.11 23:30:00,2023.01.11 23:30,1,1,long,long,1,132.376,132.3757841151,0.000215884900001,0.000500000001,-0.486,-0.4857841151,0.0002158849,0.000500000001,0.168,0.1682510776,0.0002510776,0.000500000001,-2.88726,-2.8872570804,2.91959999998e-06,5.000001e-06,0.188,0.1879285714,7.14286e-05,0.000500000001,0.158,0.1581428571,0.0001428571,0.000500000001,0.266,0.2661428571,0.0001428571,0.000500000001,-0.000176,-0.0001757873,2.127e-07,5.00001e-07,1877.269,1877.2690000000,0,0.000500000001,1876.939,1876.9390000000,0,0.000500000001,PASS
AUDIT_WINTER_11,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,11,2023.01.13 00:30:00,2023.01.13 00:30:00,2023.01.13 00:30,1,1,long,long,1,130.260,130.2601435754,0.000143575400017,0.000500000001,-1.043,-1.0431435754,0.0001435754,0.000500000001,0.473,0.4734658197,0.0004658197,0.000500000001,-2.20321,-2.2032077753,2.22469999978e-06,5.000001e-06,0.246,0.2457857143,0.0002142857,0.000500000001,0.164,0.1638571429,0.0001428571,0.000500000001,0.277,0.2770714286,7.14286e-05,0.000500000001,-0.000851,-0.0008511915,1.915e-07,5.00001e-07,1899.690,1899.6900000000,0,0.000500000001,1898.073,1898.0730000000,0,0.000500000001,PASS
AUDIT_WINTER_13,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,13,2023.01.16 03:00:00,2023.01.16 03:00:00,2023.01.16 03:00,1,1,long,long,1,128.219,128.2185913361,0.000408663900004,0.000500000001,-0.777,-0.7765913361,0.0004086639,0.000500000001,0.270,0.2695253058,0.0004746942,0.000500000001,-2.88133,-2.8813299508,4.9200000074e-08,5.000001e-06,0.227,0.2271428571,0.0001428571,0.000500000001,0.168,0.1680000000,0,0.000500000001,0.290,0.2900714286,7.14286e-05,0.000500000001,-0.001855,-0.0018549422,5.78000000002e-08,5.00001e-07,1928.362,1928.3620000000,0,0.000500000001,1924.785,1924.7850000000,0,0.000500000001,PASS
AUDIT_WINTER_15,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,15,2023.01.17 07:00:00,2023.01.17 07:00:00,2023.01.17 07:00,1,1,short,short,1,128.541,128.5413331054,0.000333105400017,0.000500000001,0.337,0.3366668946,0.0003331054,0.000500000001,0.173,0.1734628054,0.0004628054,0.000500000001,1.94086,1.9408592738,7.26200000134e-07,5.000001e-06,0.234,0.2340000000,0,0.000500000001,0.179,0.1792857143,0.0002857143,0.000500000001,0.296,0.2957857143,0.0002142857,0.000500000001,0.000681,0.0006810914,9.14000000001e-08,5.00001e-07,1907.233,1907.2330000000,0,0.000500000001,1908.532,1908.5320000000,0,0.000500000001,PASS
AUDIT_WINTER_17,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,17,2023.01.20 06:00:00,2023.01.20 06:00:00,2023.01.20 06:00,1,1,short,short,1,128.644,128.6443010398,0.000301039800007,0.000500000001,0.444,0.4436989602,0.0003010398,0.000500000001,0.269,0.2687125196,0.0002874804,0.000500000001,1.65120,1.6512031552,3.15519999994e-06,5.000001e-06,0.177,0.1770714286,7.14286e-05,0.000500000001,0.176,0.1757857143,0.0002142857,0.000500000001,0.293,0.2934285714,0.0004285714,0.000500000001,0.000105,0.0001052959,2.959e-07,5.00001e-07,1927.901,1927.9010000000,0,0.000500000001,1928.104,1928.1040000000,0,0.000500000001,PASS
AUDIT_WINTER_19,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,19,2023.01.23 15:00:00,2023.01.23 15:00:00,2023.01.23 15:00,1,1,short,short,1,129.867,129.8672471877,0.000247187700012,0.000500000001,0.696,0.6957528123,0.0002471877,0.000500000001,0.305,0.3049625702,3.74298e-05,0.000500000001,2.28144,2.2814367410,3.25900000009e-06,5.000001e-06,0.238,0.2377857143,0.0002142857,0.000500000001,0.177,0.1774285714,0.0004285714,0.000500000001,0.285,0.2847857143,0.0002142857,0.000500000001,0.000614,0.0006140824,8.24e-08,5.00001e-07,1916.681,1916.6810000000,0,0.000500000001,1917.858,1917.8580000000,0,0.000500000001,PASS
AUDIT_WINTER_21,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,21,2023.01.25 09:30:00,2023.01.25 09:30:00,2023.01.25 09:30,1,1,long,long,1,130.245,130.2447013302,0.000298669800003,0.000500000001,-0.400,-0.3997013302,0.0002986698,0.000500000001,0.182,0.1816748048,0.0003251952,0.000500000001,-2.20009,-2.2000922513,2.2513000002e-06,5.000001e-06,0.180,0.1797142857,0.0002857143,0.000500000001,0.166,0.1656428571,0.0003571429,0.000500000001,0.290,0.2895714286,0.0004285714,0.000500000001,-0.000928,-0.0009281413,1.413e-07,5.00001e-07,1929.663,1929.6630000000,0,0.000500000001,1927.872,1927.8720000000,0,0.000500000001,PASS
