window,sample_type,row_id,timestamp,mql_status,py_ema48,mql_ema48,diff_ema48,py_residual,mql_residual,diff_residual,py_sigma48,mql_sigma48,diff_sigma48,py_atr14,mql_atr14,diff_atr14,py_atr_p20,mql_atr_p20,diff_atr_p20,py_atr_p80,mql_atr_p80,diff_atr_p80,py_z_score,mql_z_score,diff_z_score,py_xau_return,mql_xau_return,diff_xau_return,py_xau_bar_time,mql_xau_bar_time,py_xau_open,mql_xau_open,py_xau_close,mql_xau_close,py_atr_sma14_diagnostic,mql_atr14_minus_sma14,py_v1_candidate,mql_v1_candidate,py_v3_candidate,mql_v3_candidate,py_direction,mql_direction,py_atr_regime_pass,mql_atr_regime_pass,py_xau_filter_pass,mql_xau_filter_pass,row_status
WINTER,control,WINTER_K_01,2023.01.02 23:00:00,PASS,130.887699084,130.887699084,1.1027623259e-11,-0.024699083889,-0.0246990839,1.10242058537e-11,0.184978669043,0.184978669,4.32205937706e-11,0.125834693983,0.106,0.0198346939827,0.125314601353,0.1222142857,0.00310031565317,0.225758250231,0.2230714286,0.00268682163071,-0.133523957204,-0.1335239572,3.97798460838e-12,0.00107668918623,0.0010766892,1.37711704019e-11,2023.01.02 23:00:00,2023.01.02 23:00:00,1825.968,1825.9680000000,1827.934,1827.9340000000,0.106,4.69069227904e-15,0,0,0,0,long,long,1,0,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch;atr_regime_pass_mismatch
WINTER,candidate,WINTER_C_01,2023.01.03 00:30:00,PASS,130.864321006,130.864321006,1.04591890704e-11,-0.25732100559,-0.2573210056,1.04541375556e-11,0.16753901125,0.1675390113,4.95299357084e-11,0.148814439752,0.1495,0.000685560247826,0.125314601353,0.1218571429,0.00345745845317,0.225758250231,0.2230714286,0.00268682163071,-1.5358870968,-1.5358870968,4.06585876078e-12,-0.000239756551525,-0.0002397566,4.84748057395e-11,2023.01.03 00:30:00,2023.01.03 00:30:00,1831.024,1831.0240000000,1830.585,1830.5850000000,0.1495,3.30291349826e-15,1,1,0,0,long,long,1,1,1,1,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_02,2023.01.04 15:30:00,PASS,130.774543651,130.774543651,1.09992015496e-11,1.23545634909,1.2354563491,1.10083053784e-11,0.281602579567,0.2816025796,3.26532689776e-11,0.297224154607,0.2825714286,0.0146527260069,0.125314601353,0.1218571429,0.00345745845317,0.233648671563,0.2361428571,0.00249418553693,4.38723377814,4.3872337781,3.91873200556e-11,0.00081240632815,0.0008124063,2.81496063438e-11,2023.01.04 15:30:00,2023.01.04 15:30:00,1856.214,1856.2140000000,1857.722,1857.7220000000,0.282571428571,2.8574254074e-11,1,1,1,1,short,short,0,0,1,1,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,control,WINTER_K_02,2023.01.05 03:30:00,PASS,131.713372011,131.713372011,4.66968685942e-11,0.628627989047,0.628627989,4.67198502108e-11,0.626707928654,0.6267079287,4.55300241953e-11,0.249521658688,0.2265,0.0230216586877,0.125314601353,0.1218571429,0.00345745845317,0.233310978184,0.2361428571,0.0028318789165,1.00306372443,1.0030637244,3.12070369546e-11,-0.0007483754645,-0.0007483755,3.55004267085e-11,2023.01.05 03:30:00,2023.01.05 03:30:00,1854.684,1854.6840000000,1853.296,1853.2960000000,0.2265,3.49720252757e-15,0,0,0,0,short,short,0,1,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch;atr_regime_pass_mismatch
WINTER,candidate,WINTER_C_03,2023.01.05 14:30:00,PASS,132.367105443,132.367105443,4.64979166281e-11,1.37389455675,1.3738945567,4.65065763677e-11,0.404760772411,0.4047607724,1.07467368338e-11,0.277155697036,0.2864285714,0.00927287436421,0.125314601353,0.1218571429,0.00345745845317,0.23660233788,0.2450714286,0.00846909072001,3.39433722434,3.3943372243,4.0242031929e-11,-0.000908469022731,-0.000908469,2.27314507278e-11,2023.01.05 14:30:00,2023.01.05 14:30:00,1836.056,1836.0560000000,1834.388,1834.3880000000,0.286428571429,2.856875847e-11,1,1,1,1,short,short,0,0,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_04,2023.01.06 03:00:00,PASS,133.087389714,133.087389714,3.13491455017e-11,0.744610286031,0.744610286,3.13317150002e-11,0.298272501528,0.2982725015,2.80587220125e-11,0.193592322366,0.1470714286,0.0465208937664,0.125314601353,0.1218571429,0.00345745845317,0.240611744445,0.2517142857,0.0111025412555,2.4964094317,2.4964094317,2.23820961764e-13,0.0011081408367,0.0011081408,3.67035195639e-11,2023.01.06 03:00:00,2023.01.06 03:00:00,1838.214,1838.2140000000,1840.251,1840.2510000000,0.147071428571,2.85716172943e-11,1,1,1,1,short,short,1,1,1,1,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_05,2023.01.06 11:30:00,PASS,133.66657331,133.66657331,9.15179043659e-12,0.857426689691,0.8574266897,9.16022813158e-12,0.287186878238,0.2871868782,3.80808162781e-11,0.218733278962,0.2448571429,0.0261238639378,0.125314601353,0.1227857143,0.00252888705317,0.240611744445,0.2517142857,0.0111025412555,2.98560538334,2.9856053833,3.51834117396e-11,-0.00167308432388,-0.0016730843,2.38847993033e-11,2023.01.06 11:30:00,2023.01.06 11:30:00,1839.716,1839.7160000000,1836.638,1836.6380000000,0.244857142857,4.28532764829e-11,1,1,1,1,short,short,1,1,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,control,WINTER_K_03,2023.01.09 19:00:00,PASS,132.119718464,132.119718464,3.70050656784e-11,-0.513718463663,-0.5137184637,3.70031782992e-11,0.428552008035,0.428552008,3.5268343801e-11,0.245570245399,0.2592857143,0.0137154689009,0.131655912129,0.1292142857,0.00244162642936,0.254156075882,0.2661428571,0.0119867812179,-1.1987307352,-1.1987307352,1.29918298342e-12,0.000673878214549,0.0006738782,1.45487842693e-11,2023.01.09 19:00:00,2023.01.09 19:00:00,1871.258,1871.2580000000,1872.519,1872.5190000000,0.259285714286,1.42840184125e-11,0,0,0,0,long,long,1,1,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_06,2023.01.11 02:30:00,PASS,132.152421194,132.152421194,3.02975422528e-11,0.40157880607,0.4015788061,3.03065905705e-11,0.147750898489,0.1477508985,1.05965514141e-11,0.181622810581,0.1589285714,0.0226942391811,0.165028935672,0.1497142857,0.0153146499721,0.254156075882,0.2661428571,0.0119867812179,2.71794493418,2.7179449342,2.08402184398e-11,0.000188842401414,0.0001888424,1.4138134836e-12,2023.01.11 02:30:00,2023.01.11 02:30:00,1874.579,1874.5790000000,1874.933,1874.9330000000,0.158928571429,2.85669543576e-11,1,1,1,1,short,short,1,1,1,1,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,control,WINTER_K_04,2023.01.11 18:00:00,PASS,132.419251584,132.419251584,9.03810359887e-12,0.104748416291,0.1047484163,9.0402269004e-12,0.11713946867,0.1171394687,3.00043878632e-11,0.185296888024,0.184,0.00129688802422,0.168927909492,0.1587857143,0.0101421951918,0.254156075882,0.2661428571,0.0119867812179,0.894219663793,0.8942196638,7.12263581448e-12,0.000687915003805,0.000687915,3.805050784e-12,2023.01.11 18:00:00,2023.01.11 18:00:00,1873.778,1873.7780000000,1875.067,1875.0670000000,0.184,2.49800180541e-15,0,0,0,0,short,short,1,1,1,1,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_07,2023.01.11 23:00:00,PASS,132.39645578,132.39645578,2.35615971178e-11,-0.530455779576,-0.5304557796,2.35860220243e-11,0.136018715724,0.1360187157,2.40404640639e-11,0.186534935351,0.1778571429,0.0086777924506,0.168671962577,0.1581428571,0.0105291054771,0.254156075882,0.2661428571,0.0119867812179,-3.89987346045,-3.8998734604,4.80557815763e-11,0.00124698055233,0.0012469806,4.76696987006e-11,2023.01.11 23:00:00,2023.01.11 23:00:00,1874.929,1874.9290000000,1877.267,1877.2670000000,0.177857142857,4.28564683741e-11,1,1,1,1,long,long,1,1,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_08,2023.01.12 11:00:00,PASS,131.819753363,131.819753363,3.77440301236e-11,-0.913753363238,-0.9137533632,3.77312625588e-11,0.375786019664,0.3757860197,3.57429086328e-11,0.234560232093,0.2391428571,0.00458262500725,0.169859019497,0.1598571429,0.0100018765973,0.254156075882,0.267,0.0128439241179,-2.43157891838,-2.4315789184,1.94901872419e-11,0.000451619887833,0.0004516199,1.2167178506e-11,2023.01.12 11:00:00,2023.01.12 11:00:00,1884.328,1884.3280000000,1885.179,1885.1790000000,0.239142857143,4.28560520405e-11,1,1,1,1,long,long,1,1,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_09,2023.01.12 19:30:00,PASS,130.806201564,130.806201564,4.17230694438e-11,-1.51220156416,-1.5122015642,4.17392787e-11,0.550955390786,0.5509553908,1.43951517373e-11,0.372569853814,0.5255714286,0.153001574786,0.173292117287,0.1611428571,0.0121492601868,0.260287784748,0.2741428571,0.0138550723524,-2.74468965991,-2.7446896599,5.16786613503e-12,0.000569420535519,0.0005694205,3.5518894141e-11,2023.01.12 19:30:00,2023.01.12 19:30:00,1896.665,1896.6650000000,1897.745,1897.7450000000,0.525571428571,2.85690360258e-11,1,1,1,1,long,long,0,0,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_10,2023.01.13 05:00:00,PASS,129.901309332,129.901309332,4.49915660283e-11,-0.655309331645,-0.6553093316,4.49860149132e-11,0.429859014574,0.4298590146,2.56236143414e-11,0.259652047598,0.2578571429,0.00179490469842,0.175344085438,0.1638571429,0.011486942538,0.267117927939,0.2770714286,0.00995350066144,-1.5244750242,-1.5244750242,2.03437267032e-12,-0.000802238884693,-0.0008022389,1.53072258645e-11,2023.01.13 05:00:00,2023.01.13 05:00:00,1895.944,1895.9440000000,1894.423,1894.4230000000,0.257857142857,4.28602153768e-11,1,1,0,0,long,long,1,1,1,1,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_11,2023.01.13 13:00:00,PASS,129.25019616,129.25019616,2.47837306233e-11,-0.859196159925,-0.8591961599,2.48066012176e-11,0.334229797843,0.3342297978,4.31185087635e-11,0.285564273308,0.3248571429,0.0392928695919,0.181050917302,0.1665714286,0.0144794887015,0.27315254098,0.2824285714,0.00927603042002,-2.57067492327,-2.5706749233,3.02984304312e-11,0.00078987150615,0.0007898715,6.15006385662e-12,2023.01.13 13:00:00,2023.01.13 13:00:00,1896.511,1896.5110000000,1898.009,1898.0090000000,0.324857142857,4.28590496426e-11,1,1,1,1,long,long,0,0,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
WINTER,candidate,WINTER_C_12,2023.01.13 21:30:00,PASS,128.522346118,128.522346118,4.41673364548e-11,-0.665346118256,-0.6653461183,4.4173997793e-11,0.237398574783,0.2373985748,1.72625802541e-11,0.225641131087,0.2111428571,0.0144982739869,0.185296888024,0.1697142857,0.0155826023242,0.277685452577,0.2900714286,0.0123859760232,-2.80265422345,-2.8026542234,4.99000840648e-11,0.000157816774204,0.0001578168,2.57957664289e-11,2023.01.13 21:30:00,2023.01.13 21:30:00,1919.948,1919.9480000000,1920.251,1920.2510000000,0.211142857143,4.28573565525e-11,1,1,1,1,long,long,1,1,0,0,FAIL:atr14_mismatch;atr_p20_mismatch;atr_p80_mismatch
