timestamp,open,high,low,close,true_range,python_wilder_atr14,python_sma_tr14
2023.01.02 08:00:00,130.915,130.931,130.891,130.891,0.040000000000020464,0.10272301700612932,0.05378571428571328
2023.01.02 08:30:00,130.894,130.93,130.876,130.908,0.054000000000002046,0.09924280150569166,0.05292857142857039
2023.01.02 09:00:00,130.904,130.928,130.876,130.881,0.0519999999999925,0.09586831568385601,0.04978571428571245
2023.01.02 09:30:00,130.88,130.884,130.827,130.839,0.05699999999998795,0.09309200742072257,0.05057142857142643
2023.01.02 10:00:00,130.836,130.841,130.732,130.741,0.10900000000000887,0.09422829260495731,0.05121428571428461
2023.01.02 10:30:00,130.748,130.772,130.737,130.757,0.03499999999999659,0.08999770027603156,0.04757142857142834
2023.01.02 11:00:00,130.755,130.859,130.753,130.783,0.10600000000002296,0.09114072168488808,0.05128571428571555
2023.01.02 11:30:00,130.785,130.814,130.734,130.736,0.07999999999998408,0.09034495585025208,0.05528571428571435
2023.01.02 12:00:00,130.744,130.766,130.669,130.744,0.09699999999997999,0.09082031614666121,0.05857142857142809
2023.01.02 12:30:00,130.742,130.764,130.693,130.698,0.07099999999999795,0.08940457927904241,0.061499999999999284
2023.01.02 13:00:00,130.699,130.719,130.591,130.625,0.1279999999999859,0.0921613950448241,0.0692857142857142
2023.01.02 13:30:00,130.626,130.656,130.589,130.616,0.06700000000000728,0.09036415254162289,0.070214285714286
2023.01.02 14:00:00,130.615,130.667,130.606,130.657,0.06100000000000705,0.08826671307436462,0.07142857142857142
2023.01.02 14:30:00,130.658,130.75,130.633,130.696,0.11699999999999022,0.09031909071190931,0.07671428571428456
2023.01.02 15:00:00,130.686,130.795,130.67,130.745,0.125,0.09279629851820151,0.08278571428571167
2023.01.02 15:30:00,130.744,130.782,130.731,130.747,0.051000000000016144,0.08981084862404541,0.08257142857142696
2023.01.02 16:00:00,130.743,130.802,130.638,130.742,0.16399999999998727,0.09511007372232697,0.0905714285714266
2023.01.02 16:30:00,130.746,130.747,130.7,130.712,0.047000000000025466,0.09167363988501973,0.08985714285714355
2023.01.02 17:00:00,130.711,130.725,130.694,130.718,0.03100000000000591,0.08733980846466159,0.08428571428571477
2023.01.02 17:30:00,130.716,130.761,130.712,130.739,0.049000000000006594,0.08460125071718624,0.08528571428571549
2023.01.02 18:00:00,130.74,130.753,130.712,130.741,0.04099999999999682,0.08148687566595843,0.08064285714285647
2023.01.02 18:30:00,130.739,130.759,130.719,130.746,0.03999999999999204,0.07852352740410369,0.0777857142857142
2023.01.02 19:00:00,130.744,130.746,130.738,130.743,0.008000000000009777,0.07348613258952555,0.07142857142857346
2023.01.02 19:30:00,130.742,130.746,130.696,130.699,0.05000000000001137,0.07180855169027454,0.06992857142857442
2023.01.02 20:00:00,130.7,130.708,130.681,130.683,0.026999999999986812,0.06860794085525398,0.06271428571428876
2023.01.02 20:30:00,130.688,130.695,130.661,130.679,0.033999999999991815,0.06613594507987812,0.06035714285714481
2023.01.02 21:00:00,130.676,130.696,130.655,130.656,0.04099999999999682,0.06434052043131518,0.05892857142857265
2023.01.02 21:30:00,130.641,130.644,130.63,130.636,0.02600000000001046,0.06160191182907913,0.05242857142857409
2023.01.02 22:00:00,130.563,130.682,130.563,130.617,0.11899999999999977,0.06570177526985918,0.05200000000000265
2023.01.02 22:30:00,130.618,130.633,130.599,130.599,0.034000000000020236,0.06343736275058497,0.05078571428571722
2023.01.02 23:00:00,130.671,131.334,130.397,130.863,0.9370000000000118,0.12583469398268687,0.10600000000000469
2023.01.02 23:30:00,130.852,130.952,130.58,130.694,0.3719999999999857,0.14341793012677964,0.12921428571428756
2023.01.03 00:00:00,130.749,130.86,130.719,130.769,0.16600000000002524,0.14503093511772575,0.1388571428571461
2023.01.03 00:30:00,130.766,130.766,130.571,130.607,0.1980000000000075,0.14881443975217445,0.1495000000000033
2023.01.03 01:00:00,130.609,130.711,129.805,129.879,0.9060000000000059,0.20289912262701956,0.21128571428571824
2023.01.03 01:30:00,129.877,130.334,129.775,130.148,0.5589999999999975,0.22833489958223227,0.2483571428571472
2023.01.03 02:00:00,130.15,130.304,130.006,130.062,0.2980000000000018,0.23331097818350152,0.26907142857143235
