run_tag,symbol,utc_day,server_time,utc_time,server_utc_offset,reason,range_hi,range_lo,range_count,expected_range_count,atr,range_atr_mult,raw_lot,final_lot,risk_budget,actual_risk,ocp_err
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.03.30,2022.03.30 09:00:00,2022.03.30 09:00:00,0,risk_reject,123.123,121.781,6,6,0.291,4.6094,0.0000,0.00,2.30,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.20,2022.04.20 09:00:00,2022.04.20 09:00:00,0,risk_reject,129.400,128.544,6,6,0.227,3.7745,0.0000,0.00,2.04,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 07:00:00,2022.04.28 07:00:00,0,risk_reject,128.888,128.350,6,6,0.313,1.7177,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 07:30:00,2022.04.28 07:30:00,0,risk_reject,128.888,128.350,6,6,0.333,1.6156,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 08:00:00,2022.04.28 08:00:00,0,risk_reject,128.888,128.350,6,6,0.354,1.5185,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 08:30:00,2022.04.28 08:30:00,0,risk_reject,128.888,128.350,6,6,0.360,1.4965,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 09:00:00,2022.04.28 09:00:00,0,risk_reject,128.888,128.350,6,6,0.377,1.4254,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 09:30:00,2022.04.28 09:30:00,0,risk_reject,128.888,128.350,6,6,0.430,1.2503,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 10:00:00,2022.04.28 10:00:00,0,risk_reject,128.888,128.350,6,6,0.374,1.4391,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 10:30:00,2022.04.28 10:30:00,0,risk_reject,128.888,128.350,6,6,0.385,1.3961,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 11:00:00,2022.04.28 11:00:00,0,risk_reject,128.888,128.350,6,6,0.383,1.4055,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.04.28,2022.04.28 11:30:00,2022.04.28 11:30:00,0,risk_reject,128.888,128.350,6,6,0.391,1.3760,0.0000,0.00,1.96,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.06.17,2022.06.17 09:30:00,2022.06.17 09:30:00,0,risk_reject,134.642,132.174,6,6,0.357,6.9090,0.0000,0.00,2.22,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.06.17,2022.06.17 10:00:00,2022.06.17 10:00:00,0,risk_reject,134.642,132.174,6,6,0.340,7.2665,0.0000,0.00,2.22,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.06.17,2022.06.17 10:30:00,2022.06.17 10:30:00,0,risk_reject,134.642,132.174,6,6,0.319,7.7246,0.0000,0.00,2.22,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.06.17,2022.06.17 11:00:00,2022.06.17 11:00:00,0,risk_reject,134.642,132.174,6,6,0.307,8.0297,0.0000,0.00,2.22,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.07.29,2022.07.29 07:00:00,2022.07.29 07:00:00,0,risk_reject,134.671,134.235,6,6,0.333,1.3085,0.0000,0.00,2.14,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.07.29,2022.07.29 07:30:00,2022.07.29 07:30:00,0,risk_reject,134.671,134.235,6,6,0.343,1.2722,0.0000,0.00,2.14,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.07.29,2022.07.29 08:00:00,2022.07.29 08:00:00,0,risk_reject,134.671,134.235,6,6,0.348,1.2518,0.0000,0.00,2.14,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.07.29,2022.07.29 08:30:00,2022.07.29 08:30:00,0,risk_reject,134.671,134.235,6,6,0.354,1.2331,0.0000,0.00,2.14,0.00,0
DS260914_JSB30_V2_TRAIN,USDJPYm,2022.07.29,2022.07.29 09:00:00,2022.07.29 09:00:00,0,risk_reject,134.671,134.235,6,6,0.364,1.1985,0.0000,0.00,2.14,0.00,0
