run_id,strategy_version,param_set_id,symbol,timeframe,position_id,deal_in,deal_out,order_kind,direction,entry_reason,exit_reason,deal_reason_raw,order_number,entry_time,entry_time_msc,entry_price,exit_time,exit_time_msc,exit_price,volume,sl_price,tp_price,profit,commission,swap,net_pnl,holding_seconds,vol_gate_low,market_state,rv_short_pts,rv_ratio,multiplier_a,grid_dist_pts,tp_dist_pts,baseline_at_entry,risk_level_at_entry,avg_vol_per_min,spread_pts_at_entry,atr_at_entry
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,76,76,77,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.05 13:02:00,1672923720000,1847.717,2023.01.05 13:07:00,1672924020000,1846.222,0.01,0.000,1647.717,1.50,0.00,0.00,1.50,300,0,0,540.58,0.0293,1.0000,1150.0,200000.0,1846.459,1,78.53,200.0,1.358
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,78,78,79,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.05 13:16:00,1672924560000,1843.997,2023.01.05 13:25:00,1672925100000,1846.134,0.01,0.000,2043.997,2.13,0.00,0.00,2.13,540,0,0,814.73,0.0442,1.0000,2194.0,200000.0,1845.823,1,94.88,600.0,1.498
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,81,81,82,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.05 14:32:00,1672929120000,1837.771,2023.01.05 14:39:00,1672929540000,1836.044,0.01,0.000,1588.738,1.73,0.00,0.00,1.73,420,0,2,545.61,0.0297,1.2452,1450.6,249033.3,1835.906,1,186.78,200.0,2.724
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,80,80,84,trend,-1,trend_sell,trend_state_exit,expert,1,2023.01.05 13:55:00,1672926900000,1835.113,2023.01.05 16:15:00,1672935300000,1831.045,0.01,1843.900,0.000,4.06,0.00,0.00,4.06,8400,0,2,949.41,0.0517,1.0000,0.0,0.0,1839.449,1,243.82,400.0,2.375
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,83,83,85,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.05 16:12:00,1672935120000,1830.583,2023.01.05 16:26:00,1672935960000,1829.177,0.01,0.000,1630.583,1.40,0.00,0.00,1.40,840,0,2,483.16,0.0264,1.0000,1011.0,200000.0,1829.291,1,144.13,200.0,2.608
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,86,86,87,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.05 16:29:00,1672936140000,1830.908,2023.01.05 16:46:00,1672937160000,1830.157,0.01,0.000,1630.908,0.75,0.00,0.00,0.75,1020,0,0,506.70,0.0277,1.0000,1067.0,200000.0,1829.809,1,115.65,200.0,2.498
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,88,88,89,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.05 16:51:00,1672937460000,1831.420,2023.01.05 16:55:00,1672937700000,1830.291,0.01,0.000,1631.420,1.13,0.00,0.00,1.13,240,0,0,451.32,0.0246,1.0000,940.0,200000.0,1830.353,1,100.38,200.0,1.941
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,91,91,92,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.05 17:25:00,1672939500000,1833.442,2023.01.05 18:15:00,1672942500000,1832.896,0.01,0.000,1633.442,0.54,0.00,0.00,0.54,3000,0,0,480.64,0.0262,1.0000,1407.0,200000.0,1830.971,1,91.17,200.0,1.643
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,90,90,93,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.05 17:08:00,1672938480000,1831.852,2023.01.05 18:15:00,1672942500000,1832.896,0.01,0.000,1631.852,-1.05,0.00,0.00,-1.05,4020,0,0,478.78,0.0261,1.0000,1001.0,200000.0,1830.582,1,95.50,200.0,1.634
g_full_z2000,eva028-CoreRiskV1,g_full_z2000,XAUUSD_HIST,M1,95,95,96,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.05 18:36:00,1672943760000,1836.569,2023.01.05 19:15:00,1672946100000,1834.486,0.01,0.000,1636.569,2.08,0.00,0.00,2.08,2340,0,0,607.67,0.0331,1.0000,1883.0,200000.0,1833.073,1,102.58,200.0,1.402
