month,requested_from,requested_to,parser_valid,parser_invalid_reason,probe_valid,invalid_reason,finalization_event,JPY_M30_bars,XAU_M30_bars,exact_intersection,info_availability_ratio,common_session_alignment_ratio,GateA_status,GateB_status,jpy_dup,xau_dup,jpy_non_monotonic,xau_non_monotonic,outside_requested_month,methodA_jpy_count,methodB_jpy_count,methodA_xau_count,methodB_xau_count,methodA_methodB_jpy_equal,methodA_methodB_xau_equal,journal_jpy_bars,journal_minus_filtered,first_jpy,last_jpy,first_xau,last_xau,journal_reconciliation,month_engineering_status,month_data_status,month_pass,tester_log_path,check_failures
2019-02,2019.02.01,2019.03.01,1,,1,,OnTester,972,916,916,94.2387,100.0000,PASS,PASS,0,0,0,0,0,972,972,916,916,1,1,972,0,2019.02.01 00:00,2019.02.28 23:30,2019.02.01 00:00,2019.02.28 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2019-03,2019.03.01,2019.04.01,1,,1,,OnTester,1017,965,965,94.8869,100.0000,PASS,PASS,0,0,0,0,0,1017,1017,965,965,1,1,1017,0,2019.03.01 00:00,2019.03.31 23:30,2019.03.01 00:00,2019.03.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2019-04,2019.04.01,2019.05.01,1,,1,,OnTester,1060,965,965,91.0377,100.0000,PASS,PASS,0,0,0,0,0,1060,1060,965,965,1,1,1060,0,2019.04.01 00:00,2019.04.30 23:30,2019.04.01 00:00,2019.04.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2019-05,2019.05.01,2019.06.01,1,,1,,OnTester,1102,1050,1050,95.2813,100.0000,PASS,PASS,0,0,0,0,0,1102,1102,1050,1050,1,1,1102,0,2019.05.01 00:00,2019.05.31 20:30,2019.05.01 00:00,2019.05.31 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2019-06,2019.06.01,2019.07.01,1,,1,,OnTester,971,929,929,95.6746,100.0000,PASS,PASS,0,0,0,0,0,971,971,929,929,1,1,971,0,2019.06.02 00:00,2019.06.30 23:30,2019.06.02 00:00,2019.06.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2019-07,2019.07.01,2019.08.01,1,,1,,OnTester,1108,1054,1054,95.1264,100.0000,PASS,PASS,0,0,0,0,0,1108,1108,1054,1054,1,1,1108,0,2019.07.01 00:00,2019.07.31 23:30,2019.07.01 00:00,2019.07.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2019-08,2019.08.01,2019.09.01,1,,1,,OnTester,1054,1012,1012,96.0152,100.0000,PASS,PASS,0,0,0,0,0,1054,1054,1012,1012,1,1,1054,0,2019.08.01 00:00,2019.08.30 20:30,2019.08.01 00:00,2019.08.30 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2019-09,2019.09.01,2019.10.01,1,,1,,OnTester,1019,967,967,94.8970,100.0000,PASS,PASS,0,0,0,0,0,1019,1019,967,967,1,1,1019,0,2019.09.01 00:00,2019.09.30 23:30,2019.09.01 00:00,2019.09.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2019-10,2019.10.01,2019.11.01,1,,1,,OnTester,1108,1062,1062,95.8484,100.0000,PASS,PASS,0,0,0,0,0,1108,1108,1062,1062,1,1,1108,0,2019.10.01 00:00,2019.10.31 23:30,2019.10.01 00:00,2019.10.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2019-11,2019.11.01,2019.12.01,1,,1,,OnTester,1006,952,952,94.6322,100.0000,PASS,PASS,0,0,0,0,0,1006,1006,952,952,1,1,1006,0,2019.11.01 00:00,2019.11.29 21:30,2019.11.01 00:00,2019.11.29 18:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
