run_id,strategy_version,param_set_id,symbol,timeframe,position_id,deal_in,deal_out,order_kind,direction,entry_reason,exit_reason,deal_reason_raw,order_number,entry_time,entry_time_msc,entry_price,exit_time,exit_time_msc,exit_price,volume,sl_price,tp_price,profit,commission,swap,net_pnl,holding_seconds,vol_gate_low,market_state,rv_short_pts,rv_ratio,multiplier_a,grid_dist_pts,tp_dist_pts,baseline_at_entry,risk_level_at_entry,avg_vol_per_min,spread_pts_at_entry,atr_at_entry
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,2,2,3,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.04 00:00:00,1672790400000,1836.701,2023.01.04 00:03:00,1672790580000,1837.745,0.01,0.000,2036.701,1.05,0.00,0.00,1.05,180,1,0,179.89,0.0098,1.0000,732.0,200000.0,1837.622,1,36.13,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,6,6,7,grid,-1,grid_sell,grid_tp_baseline_revert,expert,3,2023.01.04 02:42:00,1672800120000,1845.214,2023.01.04 03:28:00,1672802880000,1845.788,0.01,0.000,1645.214,-0.58,0.00,0.00,-0.58,2760,1,0,199.66,0.0108,1.0000,1521.0,200000.0,1842.930,1,59.77,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,5,5,8,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.04 01:53:00,1672797180000,1843.673,2023.01.04 03:28:00,1672802880000,1845.788,0.01,0.000,1643.673,-2.12,0.00,0.00,-2.12,5700,1,0,405.71,0.0220,1.0000,1780.8,200000.0,1840.783,1,70.03,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,4,4,9,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.04 01:39:00,1672796340000,1841.890,2023.01.04 03:28:00,1672802880000,1845.788,0.01,0.000,1641.890,-3.90,0.00,0.00,-3.90,6540,1,0,421.05,0.0229,1.0000,1317.0,200000.0,1840.461,1,68.22,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,11,11,12,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.04 06:19:00,1672813140000,1848.926,2023.01.04 06:41:00,1672814460000,1846.424,0.01,0.000,1648.926,2.51,0.00,0.00,2.51,1320,1,0,411.51,0.0223,1.0000,1804.6,200000.0,1846.042,1,54.52,400.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,10,10,13,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.04 05:50:00,1672811400000,1846.555,2023.01.04 06:41:00,1672814460000,1846.424,0.01,0.000,1646.555,0.14,0.00,0.00,0.14,3060,1,0,287.22,0.0156,1.0000,968.0,200000.0,1845.372,1,51.90,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,16,16,17,grid,-1,grid_sell,stage1_daily_loss_stop,expert,3,2023.01.04 08:01:00,1672819260000,1857.227,2023.01.04 08:02:00,1672819320000,1859.713,0.01,0.000,1657.227,-2.48,0.00,0.00,-2.48,60,1,0,562.61,0.0303,1.0000,3551.5,200000.0,1851.204,1,112.90,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,15,15,18,grid,-1,grid_sell,stage1_daily_loss_stop,expert,2,2023.01.04 07:32:00,1672817520000,1853.084,2023.01.04 08:02:00,1672819320000,1859.713,0.01,0.000,1653.084,-6.63,0.00,0.00,-6.63,1800,1,0,422.07,0.0228,1.0000,1848.0,200000.0,1849.925,1,80.20,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,14,14,19,grid,-1,grid_sell,stage1_daily_loss_stop,expert,1,2023.01.04 07:12:00,1672816320000,1851.110,2023.01.04 08:02:00,1672819320000,1859.713,0.01,0.000,1651.110,-8.60,0.00,0.00,-8.60,3000,1,0,487.01,0.0263,1.0000,1528.0,200000.0,1849.462,1,67.28,720.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,22,22,23,grid,-1,grid_sell,grid_tp_baseline_revert,expert,3,2023.01.05 01:46:00,1672883160000,1858.091,2023.01.05 02:08:00,1672884480000,1855.600,0.01,0.000,1658.091,2.49,0.00,0.00,2.49,1320,1,0,291.88,0.0157,1.0000,1922.8,200000.0,1854.364,1,66.78,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,21,21,24,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.05 01:17:00,1672881420000,1856.074,2023.01.05 02:08:00,1672884480000,1855.600,0.01,0.000,1656.074,0.47,0.00,0.00,0.47,3060,1,0,257.10,0.0139,1.0000,1262.8,200000.0,1853.084,1,65.15,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,20,20,25,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.05 00:00:00,1672876800000,1854.794,2023.01.05 02:08:00,1672884480000,1855.600,0.01,0.000,1654.794,-0.81,0.00,0.00,-0.81,7680,1,0,207.91,0.0112,1.0000,795.0,200000.0,1851.299,1,33.85,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,27,27,28,grid,1,grid_buy,grid_tp_baseline_revert,expert,2,2023.01.05 04:24:00,1672892640000,1851.364,2023.01.05 04:57:00,1672894620000,1851.533,0.01,0.000,2051.364,0.17,0.00,0.00,0.17,1980,1,0,179.52,0.0097,1.0000,1027.6,200000.0,1852.914,1,52.90,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,26,26,29,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.05 04:06:00,1672891560000,1852.360,2023.01.05 04:57:00,1672894620000,1851.533,0.01,0.000,2052.360,-0.83,0.00,0.00,-0.83,3060,1,0,270.59,0.0146,1.0000,931.0,200000.0,1853.331,1,49.42,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,31,31,32,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.05 06:15:00,1672899300000,1855.260,2023.01.05 06:45:00,1672901100000,1853.360,0.01,0.000,1655.260,1.90,0.00,0.00,1.90,1800,1,0,343.57,0.0185,1.0000,1547.0,200000.0,1852.489,1,59.05,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,30,30,33,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.05 05:43:00,1672897380000,1853.153,2023.01.05 06:45:00,1672901100000,1853.360,0.01,0.000,1653.153,-0.21,0.00,0.00,-0.21,3720,1,0,393.06,0.0212,1.0000,1237.0,200000.0,1851.748,1,51.33,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,34,34,35,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.05 07:00:00,1672902000000,1850.926,2023.01.05 07:11:00,1672902660000,1852.025,0.01,0.000,2050.926,1.10,0.00,0.00,1.10,660,1,0,321.80,0.0174,1.0000,1051.0,200000.0,1852.261,1,54.58,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,37,37,38,grid,1,grid_buy,grid_tp_baseline_revert,expert,2,2023.01.05 08:11:00,1672906260000,1845.903,2023.01.05 09:18:00,1672910280000,1849.052,0.01,0.000,2045.903,3.15,0.00,0.00,3.15,4020,1,0,818.96,0.0444,1.0000,4649.4,200000.0,1851.857,1,109.55,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,36,36,39,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.05 07:50:00,1672905000000,1850.738,2023.01.05 09:18:00,1672910280000,1849.052,0.01,0.000,2050.738,-1.69,0.00,0.00,-1.69,5280,1,0,489.75,0.0265,1.0000,1538.0,200000.0,1852.342,1,73.75,200.0,0.000
g_pg_z3000,eva028-CoreRiskV1,g_pg_z3000,XAUUSD_HIST,M1,41,41,42,grid,1,grid_buy,grid_tp_baseline_revert,expert,2,2023.01.05 12:00:00,1672920000000,1846.453,2023.01.05 12:20:00,1672921200000,1847.921,0.01,0.000,2046.453,1.47,0.00,0.00,1.47,1200,0,0,362.66,0.0196,1.0000,1615.6,200000.0,1848.265,1,65.28,200.0,0.000
