run_id,strategy_version,param_set_id,symbol,timeframe,position_id,deal_in,deal_out,order_kind,direction,entry_reason,exit_reason,deal_reason_raw,order_number,entry_time,entry_time_msc,entry_price,exit_time,exit_time_msc,exit_price,volume,sl_price,tp_price,profit,commission,swap,net_pnl,holding_seconds,vol_gate_low,market_state,rv_short_pts,rv_ratio,multiplier_a,grid_dist_pts,tp_dist_pts,baseline_at_entry,risk_level_at_entry,avg_vol_per_min,spread_pts_at_entry,atr_at_entry
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,3,3,4,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.04 08:33:00,1672821180000,1864.799,2023.01.04 10:25:00,1672827900000,1859.437,0.01,0.000,1664.799,5.36,0.00,0.00,5.36,6720,0,0,752.55,0.0404,1.0000,6549.2,200000.0,1855.115,1,136.53,200.0,0.000
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,2,2,5,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.04 07:39:00,1672817940000,1857.670,2023.01.04 10:25:00,1672827900000,1859.437,0.01,0.000,1657.670,-1.77,0.00,0.00,-1.77,9960,1,0,663.76,0.0357,1.0000,3810.0,200000.0,1853.860,1,96.83,200.0,0.000
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,7,7,8,grid,-1,grid_sell,grid_tp_baseline_revert,expert,2,2023.01.04 13:52:00,1672840320000,1862.232,2023.01.04 14:32:00,1672842720000,1856.555,0.01,0.000,1662.232,5.67,0.00,0.00,5.67,2400,0,0,472.47,0.0254,1.0000,3449.6,200000.0,1855.281,1,143.80,200.0,0.000
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,6,6,9,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.04 13:26:00,1672838760000,1857.944,2023.01.04 14:32:00,1672842720000,1856.555,0.01,0.000,1657.944,1.38,0.00,0.00,1.38,3960,0,0,582.12,0.0313,1.0000,3157.0,200000.0,1854.676,1,107.58,200.0,0.000
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,10,10,11,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.05 04:08:00,1672891680000,1851.320,2023.01.05 05:00:00,1672894800000,1852.039,0.01,0.000,2051.320,0.72,0.00,0.00,0.72,3120,1,0,322.16,0.0174,1.0000,1753.0,200000.0,1853.085,1,51.77,200.0,0.000
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,12,12,13,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.11 01:33:00,1673400780000,1872.347,2023.01.11 02:06:00,1673402760000,1873.986,0.01,0.000,2072.347,1.64,0.00,0.00,1.64,1980,1,0,405.92,0.0217,1.0000,2124.0,200000.0,1874.479,1,65.67,200.0,0.000
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,14,14,15,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.11 05:38:00,1673415480000,1882.874,2023.01.11 06:44:00,1673419440000,1882.241,0.01,0.000,1682.874,0.63,0.00,0.00,0.63,3960,1,0,388.09,0.0206,1.0000,2043.0,200000.0,1880.747,1,59.92,200.0,0.000
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,16,16,17,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.11 12:16:00,1673439360000,1878.719,2023.01.11 13:45:00,1673444700000,1879.888,0.01,0.000,2078.719,1.17,0.00,0.00,1.17,5340,1,0,567.48,0.0302,1.0000,3045.0,200000.0,1881.407,1,78.25,600.0,0.000
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,18,18,19,grid,1,grid_buy,grid_tp_baseline_revert,expert,1,2023.01.12 23:01:00,1673564460000,1895.901,2023.01.12 23:16:00,1673565360000,1896.762,0.01,0.000,2095.901,0.86,0.00,0.00,0.86,900,0,0,154.28,0.0081,1.0000,1184.0,200000.0,1897.100,1,28.48,200.0,0.000
g_pg_z5000,eva028-CoreRiskV1,g_pg_z5000,XAUUSD_HIST,M1,20,20,21,grid,-1,grid_sell,grid_tp_baseline_revert,expert,1,2023.01.13 00:27:00,1673569620000,1900.736,2023.01.13 00:32:00,1673569920000,1898.956,0.01,0.000,1700.736,1.78,0.00,0.00,1.78,300,0,0,285.24,0.0150,1.0000,1622.0,200000.0,1899.091,1,55.83,200.0,0.000
